,states,state_code,quarter,policy,score
1,Alabama,AL,Q4,inmate_testing,13
5,Alabama,AL,Q4,inmate_screening,13
9,Alabama,AL,Q4,inmate_quarantine,13
15,Alabama,AL,Q4,staff_masking,13
19,Alabama,AL,Q4,staff_quarantine,13
21,Alaska,AK,Q4,inmate_vaccination,2
23,Alaska,AK,Q4,inmate_testing,8
27,Alaska,AK,Q4,inmate_social_distance_sleep,13
31,Alaska,AK,Q4,inmate_screening,13
35,Alaska,AK,Q4,inmate_visitation_suspended,13
38,Alaska,AK,Q4,staff_masking,13
41,Arizona,AZ,Q4,inmate_testing,13
45,Arizona,AZ,Q4,inmate_visitation_suspended,13
49,Arizona,AZ,Q4,staff_masking,13
54,Arkansas,AR,Q4,inmate_releases,13
58,Arkansas,AR,Q4,inmate_screening,13
62,Arkansas,AR,Q4,inmate_quarantine,13
66,Arkansas,AR,Q4,inmate_visitation_suspended,13
70,Arkansas,AR,Q4,staff_masking,13
75,California,CA,Q4,inmate_masking,13
79,California,CA,Q4,inmate_releases,13
83,California,CA,Q4,inmate_social_distance,13
87,California,CA,Q4,inmate_screening,13
91,California,CA,Q4,inmate_quarantine,13
95,California,CA,Q4,inmate_visitation_suspended,13
98,California,CA,Q4,staff_testing,13
102,California,CA,Q4,staff_masking,13
106,California,CA,Q4,staff_quarantine,13
111,Colorado,CO,Q4,inmate_testing,13
115,Colorado,CO,Q4,inmate_masking,13
129,Colorado,CO,Q4,staff_masking,13
147,Delaware,DE,Q4,inmate_testing,13
153,Delaware,DE,Q4,inmate_screening,13
158,Delaware,DE,Q4,staff_testing,4
162,Delaware,DE,Q4,staff_masking,13
168,Florida,FL,Q4,inmate_masking,13
170,Florida,FL,Q4,inmate_screening,5
174,Florida,FL,Q4,inmate_quarantine,13
178,Florida,FL,Q4,inmate_visitation_suspended,4
181,Florida,FL,Q4,staff_masking,13
185,Florida,FL,Q4,staff_quarantine,13
189,Georgia,GA,Q4,inmate_releases,13
193,Georgia,GA,Q4,inmate_screening,13
197,Georgia,GA,Q4,inmate_visitation_suspended,13
201,Georgia,GA,Q4,staff_quarantine,13
205,Hawaii,HI,Q4,inmate_releases,13
209,Hawaii,HI,Q4,inmate_social_distance,13
213,Hawaii,HI,Q4,inmate_screening,13
217,Hawaii,HI,Q4,inmate_quarantine,13
221,Hawaii,HI,Q4,inmate_visitation_suspended,13
225,Hawaii,HI,Q4,staff_masking,13
229,Hawaii,HI,Q4,staff_quarantine,13
233,Idaho,ID,Q4,inmate_testing,13
236,Idaho,ID,Q4,inmate_masking,13
240,Idaho,ID,Q4,inmate_social_distance,13
244,Idaho,ID,Q4,inmate_screening,13
248,Idaho,ID,Q4,inmate_quarantine,13
252,Idaho,ID,Q4,inmate_visitation_suspended,13
255,Idaho,ID,Q4,staff_testing,13
259,Idaho,ID,Q4,staff_masking,13
263,Idaho,ID,Q4,staff_quarantine,13
266,Illinois,IL,Q4,inmate_testing,4
270,Illinois,IL,Q4,inmate_masking,13
274,Illinois,IL,Q4,inmate_releases,13
277,Illinois,IL,Q4,inmate_screening,13
281,Illinois,IL,Q4,inmate_quarantine,13
285,Illinois,IL,Q4,inmate_visitation_suspended,13
287,Illinois,IL,Q4,staff_testing,4
291,Illinois,IL,Q4,staff_masking,13
295,Illinois,IL,Q4,staff_quarantine,13
299,Indiana,IN,Q4,inmate_social_distance,13
303,Indiana,IN,Q4,inmate_screening,13
307,Indiana,IN,Q4,inmate_quarantine,13
311,Indiana,IN,Q4,inmate_visitation_suspended,13
315,Indiana,IN,Q4,staff_masking,13
318,Iowa,IA,Q4,inmate_testing,13
321,Iowa,IA,Q4,inmate_masking,13
325,Iowa,IA,Q4,inmate_releases,13
329,Iowa,IA,Q4,inmate_screening,13
333,Iowa,IA,Q4,inmate_quarantine,13
337,Iowa,IA,Q4,inmate_visitation_suspended,13
341,Iowa,IA,Q4,staff_masking,13
345,Iowa,IA,Q4,staff_quarantine,13
349,Kansas,KS,Q4,inmate_masking,13
353,Kansas,KS,Q4,inmate_social_distance,13
357,Kansas,KS,Q4,inmate_social_distance_sleep,13
361,Kansas,KS,Q4,inmate_screening,13
365,Kansas,KS,Q4,inmate_quarantine,13
369,Kansas,KS,Q4,inmate_visitation_suspended,13
374,Kansas,KS,Q4,staff_masking,13
377,Kentucky,KY,Q4,inmate_testing,13
381,Kentucky,KY,Q4,inmate_masking,13
386,Kentucky,KY,Q4,inmate_visitation_suspended,13
390,Kentucky,KY,Q4,staff_masking,13
397,Louisiana,LA,Q4,inmate_visitation_suspended,4
402,Maine,ME,Q4,inmate_testing,13
406,Maine,ME,Q4,inmate_social_distance,13
410,Maine,ME,Q4,inmate_screening,13
412,Maine,ME,Q4,inmate_quarantine,13
416,Maine,ME,Q4,inmate_visitation_suspended,4
418,Maine,ME,Q4,staff_masking,13
422,Maryland,MD,Q4,inmate_testing,13
425,Maryland,MD,Q4,inmate_masking,13
429,Maryland,MD,Q4,inmate_releases,13
432,Maryland,MD,Q4,inmate_social_distance,13
436,Maryland,MD,Q4,inmate_screening,13
440,Maryland,MD,Q4,inmate_quarantine,13
444,Maryland,MD,Q4,inmate_visitation_suspended,13
448,Maryland,MD,Q4,staff_testing,13
452,Maryland,MD,Q4,staff_masking,13
456,Maryland,MD,Q4,staff_quarantine,13
461,Massachusetts,MA,Q4,inmate_testing,8
464,Massachusetts,MA,Q4,inmate_releases,13
468,Massachusetts,MA,Q4,inmate_visitation_suspended,7
470,Massachusetts,MA,Q4,staff_testing,2
473,Massachusetts,MA,Q4,staff_masking,13
478,Michigan,MI,Q4,inmate_testing,13
482,Michigan,MI,Q4,inmate_masking,13
486,Michigan,MI,Q4,inmate_releases,13
490,Michigan,MI,Q4,inmate_social_distance,13
494,Michigan,MI,Q4,inmate_quarantine,13
498,Michigan,MI,Q4,inmate_visitation_suspended,13
502,Michigan,MI,Q4,staff_masking,13
507,Minnesota,MN,Q4,inmate_testing,13
511,Minnesota,MN,Q4,inmate_masking,13
517,Minnesota,MN,Q4,inmate_screening,13
523,Minnesota,MN,Q4,staff_testing,13
527,Minnesota,MN,Q4,staff_masking,13
531,Mississippi,MS,Q4,inmate_social_distance,13
535,Mississippi,MS,Q4,inmate_screening,13
539,Mississippi,MS,Q4,inmate_quarantine,13
543,Mississippi,MS,Q4,inmate_visitation_suspended,13
547,Mississippi,MS,Q4,staff_masking,13
552,Missouri,MO,Q4,inmate_masking,13
556,Missouri,MO,Q4,inmate_social_distance,13
560,Missouri,MO,Q4,inmate_screening,13
564,Missouri,MO,Q4,inmate_quarantine,13
568,Missouri,MO,Q4,inmate_visitation_suspended,13
572,Missouri,MO,Q4,staff_testing,13
575,Missouri,MO,Q4,staff_masking,13
579,Missouri,MO,Q4,staff_quarantine,13
583,Montana,MT,Q4,inmate_testing,13
587,Montana,MT,Q4,inmate_releases,13
591,Montana,MT,Q4,inmate_screening,13
595,Montana,MT,Q4,inmate_quarantine,13
599,Montana,MT,Q4,inmate_visitation_suspended,13
603,Montana,MT,Q4,staff_testing,13
607,Montana,MT,Q4,staff_masking,13
611,Nebraska,NE,Q4,inmate_testing,13
615,Nebraska,NE,Q4,inmate_masking,13
619,Nebraska,NE,Q4,inmate_social_distance,13
623,Nebraska,NE,Q4,inmate_screening,13
627,Nebraska,NE,Q4,inmate_quarantine,13
631,Nebraska,NE,Q4,inmate_visitation_suspended,13
635,Nebraska,NE,Q4,staff_masking,13
639,Nebraska,NE,Q4,staff_quarantine,13
644,Nevada,NV,Q4,inmate_testing,13
649,Nevada,NV,Q4,inmate_screening,13
653,Nevada,NV,Q4,inmate_quarantine,13
657,Nevada,NV,Q4,inmate_visitation_suspended,13
661,Nevada,NV,Q4,staff_testing,13
665,Nevada,NV,Q4,staff_masking,13
669,New Hampshire,NH,Q4,inmate_social_distance,13
673,New Hampshire,NH,Q4,inmate_screening,13
677,New Hampshire,NH,Q4,inmate_quarantine,13
683,New Hampshire,NH,Q4,staff_masking,13
687,New Jersey,NJ,Q4,inmate_testing,13
691,New Jersey,NJ,Q4,inmate_releases,13
695,New Jersey,NJ,Q4,inmate_social_distance,13
699,New Jersey,NJ,Q4,inmate_screening,13
703,New Jersey,NJ,Q4,inmate_quarantine,13
707,New Jersey,NJ,Q4,inmate_visitation_suspended,4
711,New Jersey,NJ,Q4,staff_testing,13
715,New Jersey,NJ,Q4,staff_masking,13
719,New Jersey,NJ,Q4,staff_quarantine,13
724,New Mexico,NM,Q4,inmate_masking,13
728,New Mexico,NM,Q4,inmate_releases,13
732,New Mexico,NM,Q4,inmate_screening,13
736,New Mexico,NM,Q4,inmate_quarantine,13
740,New Mexico,NM,Q4,inmate_visitation_suspended,13
744,New Mexico,NM,Q4,staff_testing,13
748,New Mexico,NM,Q4,staff_masking,13
